"Category","Vulnerability","Options for Consideration","Sources","Sector","Subsector"
"Physical Security","The facility lacks adequate perimeter fencing.","Install perimeter fencing with controlled access points.","DHS, 2023, Physical Security Guidelines for Critical Infrastructure, https://www.cisa.gov/physical-security","Commercial Facilities","Commercial Facilities"
"Physical Security","The facility lacks adequate perimeter fencing.","Add security lighting around the perimeter.","ASIS International, 2022, Physical Security Standards, https://www.asisonline.org/standards","Commercial Facilities","Commercial Facilities"
"Physical Security Systems","The facility lacks electronic access control systems.","Implement card-based access control with audit trails.","ASIS International, 2021, Access Control Standards, https://www.asisonline.org/standards/access-control","Commercial Facilities","Commercial Facilities"
"Physical Security Systems","The facility lacks electronic access control systems.","Deploy biometric authentication for high-security areas.","NIST SP 800-63B, 2023, Digital Identity Guidelines, https://pages.nist.gov/800-63-3/","Commercial Facilities","Commercial Facilities"
"Physical Security Systems","The facility lacks electronic access control systems.","Install AI-powered video analytics for threat detection.","DHS CISA, 2023, AI Security Guidelines, https://www.cisa.gov/ai-security","Commercial Facilities","Commercial Facilities"
"Physical Security Systems","The facility lacks UAS detection and countermeasures.","Deploy radar-based UAS detection systems with automated alerts.","DHS CISA, 2024, Counter-UAS Guidelines, https://www.cisa.gov/counter-uas","Commercial Facilities","Commercial Facilities"
"Physical Security Systems","The facility lacks UAS detection and countermeasures.","Implement authorized counter-UAS systems with proper licensing.","FAA, 2024, Counter-UAS Regulations, https://www.faa.gov/uas/counter-uas","Commercial Facilities","Commercial Facilities"
"Physical Security Systems","The facility lacks UAS detection and countermeasures.","Install AI-powered visual detection systems for drone identification.","DHS CISA, 2024, Counter-UAS Guidelines, https://www.cisa.gov/counter-uas","Commercial Facilities","Commercial Facilities"
"Cybersecurity","The system lacks multi-factor authentication.","Implement MFA for all user accounts.","NIST SP 800-63B, 2023, Digital Identity Guidelines, https://pages.nist.gov/800-63-3/","Information Technology","Information Technology"
"Cybersecurity","The system lacks multi-factor authentication.","Deploy hardware security keys for high-privilege accounts.","NIST SP 800-63B, 2023, Digital Identity Guidelines, https://pages.nist.gov/800-63-3/","Information Technology","Information Technology"
